distance_pronoun_antecedent,number_agreement,is_proper_noun,antecedent_position,case_antecedent,case_pronoun,pos_mention,pos_pronoun,pos_before_mention_1,pos_before_mention_2,pos_after_mention_1,pos_after_mention_2,pos_before_pronoun_1,pos_before_pronoun_2,pos_after_pronoun_1,pos_after_pronoun_2,pos_head_mention,pos_head_pronoun,syntactic_function_mention,syntactic_function_pronoun,nouns_between_mentions,pronoun_value,pronoun_sentence_length,normalized_distance,mention_local_score,tkachenko_embedding,missing_tkachenko_embedding,eleri_abstractness_score,mention_global_score,category
0,1,0,1,1,1,1,12,11,14,13,16,11,13,8,16,11,16,16,24,24,7,4,36,0.528,3,0,1,0,9,0
0,0,0,0,1,3,1,11,11,16,12,12,8,13,8,16,11,8,16,23,24,7,4,36,0.472,1,0.333,0,2.552,0,0
0,1,0,1,1,2,1,12,11,11,16,8,1,13,8,16,11,8,16,23,24,6,4,36,0.444,2,0,1,0,13,0
0,0,1,0,1,3,1,8,11,12,11,1,8,13,8,16,11,1,16,26,24,5,4,36,0.417,4,0.216,0,4.992,7,0
0,1,1,0,1,4,1,8,11,1,8,13,12,13,8,16,11,16,16,27,24,4,4,36,0.361,2,0.164,0,2.878,11,0
0,1,0,1,1,2,1,12,11,13,8,8,8,13,8,16,11,8,16,23,24,3,4,36,0.306,2,0,1,0,15,0
0,1,1,0,1,2,1,8,11,12,13,8,13,13,8,16,11,8,16,23,24,2,4,36,0.278,3,0,1,0,10,0
0,1,1,0,1,1,1,8,11,8,12,13,13,13,8,16,11,8,16,29,24,1,4,36,0.25,2,0.244,0,3.403,12,0
0,1,0,0,1,1,1,11,11,16,4,16,8,13,8,16,11,16,16,24,24,1,4,36,0.111,5,0.54,0,3.27,0,0
0,1,1,0,1,3,1,8,11,16,11,13,11,13,8,16,11,16,16,26,24,0,4,36,0.056,1,0.257,0,3.917,0,1
0,0,0,1,1,1,10,12,11,4,3,12,1,13,2,8,8,8,8,23,23,8,4,30,0.567,1,0,1,0,12,0
0,0,1,0,1,1,10,8,11,1,12,8,13,13,2,8,8,16,8,24,23,6,4,30,0.467,1,0.233,0,1.418,12,0
0,0,1,0,1,0,10,8,11,8,1,13,12,13,2,8,8,8,8,23,23,5,4,30,0.433,1,0,1,0,9,0
0,0,0,1,1,2,10,12,11,13,8,5,1,13,2,8,8,8,8,11,23,4,4,30,0.367,2,0,1,0,11,0
0,0,1,0,1,2,10,8,11,1,5,2,16,13,2,8,8,8,8,11,23,3,4,30,0.267,2,0.233,0,4.154,11,0
0,1,1,0,1,3,10,8,11,16,2,8,8,13,2,8,8,16,8,26,23,2,4,30,0.167,1,0.101,0,1.955,10,0
