distance_pronoun_antecedent,number_agreement,is_proper_noun,antecedent_position,case_antecedent,case_pronoun,pos_mention,pos_pronoun,pos_before_mention_1,pos_before_mention_2,pos_after_mention_1,pos_after_mention_2,pos_before_pronoun_1,pos_before_pronoun_2,pos_after_pronoun_1,pos_after_pronoun_2,pos_head_mention,pos_head_pronoun,syntactic_function_mention,syntactic_function_pronoun,nouns_between_mentions,pronoun_value,pronoun_sentence_length,normalized_distance,mention_local_score,tkachenko_embedding,missing_tkachenko_embedding,eleri_abstractness_score,mention_global_score,category
0,0,1,0,1,6,1,8,11,14,13,16,8,13,18,16,13,16,16,27,24,0,1,20,0.2,3,0,1,0,15,0
0,0,1,0,1,1,1,8,11,16,8,3,9,13,18,16,13,16,16,24,24,1,1,20,0.3,1,0,1,0,14,0
0,0,1,0,1,2,1,8,11,9,9,2,13,13,18,16,13,16,16,27,24,2,1,20,0.5,1,0.427,0,4.591,11,0
0,1,0,0,1,6,1,11,11,13,2,4,8,13,18,16,13,8,16,35,24,3,1,20,0.65,1,0.489,0,1.415,0,0
0,0,1,0,1,14,1,8,11,4,11,1,8,13,18,16,13,1,16,27,24,3,1,20,0.75,2,0.336,0,6.825,11,0
0,1,1,0,1,1,1,8,11,1,8,13,18,13,18,16,13,11,16,40,24,4,1,20,0.85,1,0.339,0,6.251,0,0
2,0,1,0,1,1,1,8,11,6,18,3,16,13,18,16,13,3,16,27,24,8,1,20,0,1,0.422,0,1.937,10,0
2,0,0,0,1,6,1,11,11,16,3,1,8,13,18,16,13,16,16,27,24,8,1,20,0,8,0.87,0,3.27,0,0
2,0,1,0,1,1,1,8,11,1,11,13,14,13,18,16,13,16,16,24,24,7,1,20,0,2,0.226,0,2.219,13,0
2,0,1,0,1,2,1,8,11,14,13,2,3,13,18,16,13,16,16,2,24,6,1,20,0,3,0.1,0,8.188,14,0
2,0,1,0,1,3,1,8,11,4,3,13,16,13,18,16,13,8,16,40,24,5,1,20,0,2,0.114,0,8.54,14,0
2,0,1,0,1,0,1,8,11,16,13,12,13,13,18,16,13,16,16,24,24,4,1,20,0,1,0,1,0,16,0
1,0,1,0,0,2,1,8,11,18,18,8,16,13,18,16,13,8,16,23,24,2,1,20,0,3,0.514,0,7.306,8,0
1,0,1,0,1,6,1,8,11,8,18,16,11,13,18,16,13,16,16,27,24,1,1,20,0,1,-0.016,0,0.995,11,0
1,0,0,0,1,1,1,11,11,16,8,8,16,13,18,16,13,16,16,24,24,1,1,20,0,8,0.87,0,3.27,0,0
1,0,1,0,1,8,1,8,11,11,16,16,3,13,18,16,13,16,16,27,24,0,1,20,0,1,0.095,0,7.903,11,0
3,0,1,0,0,1,1,8,11,18,18,16,8,13,18,16,13,16,16,24,24,10,1,20,0,3,0.514,0,7.306,8,0
3,0,1,0,1,3,1,8,11,16,8,3,16,13,18,16,13,16,16,26,24,9,1,20,0,3,0.1,0,8.188,14,0
-1,0,1,0,0,9,1,8,11,18,18,4,3,13,18,16,13,16,16,24,24,5,1,20,0,3,0,1,0,15,0
-1,1,0,0,1,1,1,11,11,3,13,8,8,13,18,16,13,16,16,24,24,6,1,20,0,8,0.87,0,3.27,0,0
-1,1,1,0,1,2,1,8,11,11,3,8,16,13,18,16,13,8,16,23,24,6,1,20,0,1,0.332,0,6.666,11,0
-1,1,1,0,1,3,1,8,11,8,11,16,5,13,18,16,13,16,16,26,24,7,1,20,0,1,0.352,0,1.035,10,0
-1,0,0,0,1,3,1,11,11,5,16,11,11,13,18,16,13,16,16,26,24,8,1,20,0,3,0.513,0,1.139,0,0
-1,1,0,0,1,1,1,11,11,11,5,11,16,13,18,16,13,16,16,24,24,8,1,20,0,8,0.87,0,3.27,0,0
-1,1,0,0,1,5,1,11,11,11,11,16,13,13,18,16,13,16,16,27,24,8,1,20,0,8,0.87,0,3.27,0,0
-1,0,0,1,1,2,1,12,11,16,13,8,12,13,18,16,13,8,16,23,24,8,1,20,0,1,0,1,0,16,0
-1,0,1,0,1,1,1,8,11,12,16,12,12,13,18,16,13,16,16,24,24,9,1,20,0,1,0.114,0,7.362,13,0
-1,0,0,1,1,1,1,12,11,8,12,12,13,13,18,16,13,8,16,5,24,10,1,20,0,1,0,1,0,16,0
-2,0,1,0,0,1,1,8,11,18,18,13,12,13,18,16,13,18,16,32,24,12,1,20,0,3,-0.009,0,8.69,12,0
-2,0,0,1,2,1,1,12,11,13,8,18,18,13,18,16,13,8,16,29,24,13,1,20,0,2,0,1,0,14,0
0,0,1,0,1,1,2,8,11,13,18,12,4,8,1,1,8,8,8,40,23,2,1,29,0.172,4,-0.032,0,6.9,13,0
0,0,0,1,1,1,2,12,11,8,13,4,1,8,1,1,8,8,8,5,23,1,1,29,0.138,2,0,1,0,15,0
0,0,1,0,1,1,2,8,11,1,4,11,1,8,1,1,8,18,8,32,23,0,1,29,0.034,1,0.334,0,1.484,12,0
