distance_pronoun_antecedent,number_agreement,is_proper_noun,antecedent_position,case_antecedent,case_pronoun,pos_mention,pos_pronoun,pos_before_mention_1,pos_before_mention_2,pos_after_mention_1,pos_after_mention_2,pos_before_pronoun_1,pos_before_pronoun_2,pos_after_pronoun_1,pos_after_pronoun_2,pos_head_mention,pos_head_pronoun,syntactic_function_mention,syntactic_function_pronoun,nouns_between_mentions,pronoun_value,pronoun_sentence_length,normalized_distance,mention_local_score,tkachenko_embedding,missing_tkachenko_embedding,eleri_abstractness_score,mention_global_score,category
0,1,0,1,0,2,3,12,11,18,18,8,8,13,8,4,16,8,16,23,26,7,5,31,0.581,2,0,1,0,15,0
0,1,1,0,1,2,3,8,11,12,18,8,13,13,8,4,16,8,16,23,26,6,5,31,0.548,3,0,1,0,10,0
0,1,1,0,1,2,3,8,11,8,12,13,8,13,8,4,16,8,16,23,26,5,5,31,0.516,2,0.206,0,3.403,12,0
0,0,1,0,1,0,3,8,11,13,8,13,13,13,8,4,16,8,16,5,26,4,5,31,0.452,3,0,1,0,15,0
0,1,0,1,1,2,3,12,11,13,13,5,12,13,8,4,16,1,16,27,26,3,5,31,0.355,2,0,1,0,14,0
0,1,0,1,1,2,3,12,11,5,12,1,9,13,8,4,16,12,16,11,26,2,5,31,0.29,3,0,1,0,9,0
0,1,1,0,1,3,3,8,11,1,3,1,8,13,8,4,16,1,16,26,26,1,5,31,0.129,4,0.314,0,4.992,7,0
0,1,1,0,1,1,3,8,11,1,8,13,11,13,8,4,16,8,16,5,26,0,5,31,0.065,2,0.105,0,2.878,11,0
0,0,0,1,0,6,1,12,11,18,18,12,12,13,8,16,8,16,16,27,24,3,5,26,0.308,3,0,1,0,9,0
0,1,0,1,1,9,1,12,11,12,18,12,16,13,8,16,8,16,16,27,24,2,5,26,0.269,1,0,1,0,16,0
0,0,0,1,1,9,1,12,11,12,12,16,3,13,8,16,8,16,16,27,24,1,5,26,0.231,1,0,1,0,16,0
0,1,1,0,1,1,1,8,11,1,3,13,11,13,8,16,8,16,16,24,24,0,5,26,0.077,1,0,1,0,0,1
0,0,1,0,0,1,2,8,11,18,18,16,8,13,2,8,4,16,8,24,23,6,5,31,0.548,1,0.163,0,5.107,13,0
0,1,1,0,1,2,2,8,11,16,8,8,8,13,2,8,4,16,8,26,23,5,5,31,0.484,1,0.139,0,5.22,9,0
0,1,1,0,1,2,2,8,11,8,16,8,9,13,2,8,4,8,8,23,23,4,5,31,0.452,1,0.205,0,1.072,13,0
0,1,1,0,1,1,2,8,11,8,8,9,5,13,2,8,4,8,8,5,23,3,5,31,0.419,1,0.129,0,2.573,13,0
0,1,1,0,1,3,2,8,11,5,9,4,3,13,2,8,4,8,8,40,23,2,5,31,0.323,1,0.13,0,2.025,9,0
