distance_pronoun_antecedent,number_agreement,is_proper_noun,antecedent_position,case_antecedent,case_pronoun,pos_mention,pos_pronoun,pos_before_mention_1,pos_before_mention_2,pos_after_mention_1,pos_after_mention_2,pos_before_pronoun_1,pos_before_pronoun_2,pos_after_pronoun_1,pos_after_pronoun_2,pos_head_mention,pos_head_pronoun,syntactic_function_mention,syntactic_function_pronoun,nouns_between_mentions,pronoun_value,pronoun_sentence_length,normalized_distance,mention_local_score,tkachenko_embedding,missing_tkachenko_embedding,eleri_abstractness_score,mention_global_score,category
0,1,1,0,1,1,2,8,11,1,3,8,16,8,1,2,13,8,8,40,23,2,6,30,0.2,1,0.228,0,2.639,13,0
0,0,1,0,1,3,2,8,11,8,1,16,4,8,1,2,13,16,8,26,23,1,6,30,0.167,2,0.224,0,6.292,14,0
0,1,1,0,1,1,2,8,11,1,4,11,2,8,1,2,13,18,8,32,23,0,6,30,0.033,1,0.202,0,2.674,14,0
1,1,1,0,1,2,2,8,11,1,18,1,12,8,1,2,13,1,8,27,23,10,6,30,0,1,0.321,0,3.281,10,0
1,1,0,1,1,2,2,12,11,1,8,8,4,8,1,2,13,8,8,23,23,9,6,30,0,4,0,1,0,14,0
1,0,1,0,1,6,2,8,11,12,1,4,16,8,1,2,13,16,8,27,23,8,6,30,0,1,0,1,0,14,0
1,0,1,0,1,1,2,8,11,1,16,13,14,8,1,2,13,16,8,26,23,7,6,30,0,1,0,1,0,15,0
1,1,1,0,1,2,2,8,11,14,13,2,4,8,1,2,13,16,8,27,23,6,6,30,0,2,0.476,0,1.239,10,0
1,1,1,0,1,3,2,8,11,3,4,16,1,8,1,2,13,16,8,26,23,5,6,30,0,2,0.295,0,2.256,11,0
1,1,1,0,1,2,2,8,11,1,16,16,13,8,1,2,13,16,8,26,23,4,6,30,0,4,0.511,0,6.184,7,0
1,1,1,0,1,1,2,8,11,1,1,13,18,8,1,2,13,16,8,24,23,3,6,30,0,1,0.31,0,7.143,11,0
2,1,1,0,0,1,2,8,11,18,18,13,8,8,1,2,13,18,8,32,23,12,6,30,0,4,0.025,0,8.69,12,0
2,1,1,0,2,1,2,8,11,13,8,18,18,8,1,2,13,8,8,29,23,11,6,30,0,1,0,1,0,16,0
0,1,0,1,0,1,3,12,11,18,18,16,3,5,13,3,1,16,1,24,26,2,6,26,0.308,2,0,1,0,15,0
0,1,1,0,1,2,3,8,11,6,3,8,13,5,13,3,1,8,1,23,26,1,6,26,0.154,1,0.412,0,2.374,12,0
0,1,1,0,1,3,3,8,11,8,6,13,5,5,13,3,1,16,1,26,26,0,6,26,0.115,1,0,1,0,12,0
1,1,1,0,1,1,3,8,11,1,3,8,16,5,13,3,1,8,1,40,26,15,6,26,0,1,0.228,0,2.639,13,0
1,0,1,0,1,3,3,8,11,8,1,16,4,5,13,3,1,16,1,26,26,14,6,26,0,2,0.224,0,6.292,14,0
1,1,1,0,1,1,3,8,11,1,4,11,2,5,13,3,1,18,1,32,26,13,6,26,0,1,0.202,0,2.674,14,0
1,1,0,1,1,2,3,12,11,14,13,1,8,5,13,3,1,8,1,23,26,12,6,26,0,4,0,1,0,14,0
1,1,1,0,1,1,3,8,11,1,12,4,16,5,13,3,1,16,1,24,26,11,6,26,0,2,0.306,0,2.674,12,0
1,1,1,0,1,6,3,8,11,16,4,8,8,5,13,3,1,16,1,27,26,10,6,26,0,2,0.476,0,1.239,10,0
1,1,1,0,1,2,3,8,11,8,16,8,16,5,13,3,1,16,1,26,26,9,6,26,0,1,0.12,0,7.704,12,0
1,1,1,0,1,1,3,8,11,8,8,16,13,5,13,3,1,16,1,26,26,8,6,26,0,4,0.511,0,6.184,7,0
1,1,1,0,1,2,3,8,11,16,13,8,1,5,13,3,1,8,1,23,26,7,6,26,0,1,0,1,0,16,0
1,0,1,0,1,3,3,8,11,8,16,1,8,5,13,3,1,1,1,26,26,6,6,26,0,3,0.313,0,7.446,12,0
1,1,1,0,1,2,3,8,11,1,8,8,8,5,13,3,1,8,1,23,26,5,6,26,0,1,0.21,0,3.403,12,0
1,1,1,0,1,1,3,8,11,8,1,8,13,5,13,3,1,16,1,24,26,4,6,26,0,1,-0.304,0,7.04,11,0
1,1,1,0,1,5,3,8,11,8,8,13,18,5,13,3,1,16,1,27,26,3,6,26,0,2,0,1,0,13,0
2,1,1,0,1,2,3,8,11,1,18,1,12,5,13,3,1,1,1,27,26,23,6,26,0,1,0.321,0,3.281,10,0
2,1,0,1,1,2,3,12,11,1,8,8,4,5,13,3,1,8,1,23,26,22,6,26,0,4,0,1,0,14,0
2,0,1,0,1,6,3,8,11,12,1,4,16,5,13,3,1,16,1,27,26,21,6,26,0,1,0,1,0,14,0
2,0,1,0,1,1,3,8,11,1,16,13,14,5,13,3,1,16,1,26,26,20,6,26,0,1,0,1,0,15,0
2,1,1,0,1,2,3,8,11,14,13,2,4,5,13,3,1,16,1,27,26,19,6,26,0,2,0.476,0,1.239,10,0
2,1,1,0,1,3,3,8,11,3,4,16,1,5,13,3,1,16,1,26,26,18,6,26,0,2,0.295,0,2.256,11,0
2,1,1,0,1,2,3,8,11,1,16,16,13,5,13,3,1,16,1,26,26,17,6,26,0,4,0.511,0,6.184,7,0
2,1,1,0,1,1,3,8,11,1,1,13,18,5,13,3,1,16,1,24,26,16,6,26,0,1,0.31,0,7.143,11,0
0,1,1,0,0,1,9,8,6,18,18,16,12,3,5,8,1,16,8,24,15,8,6,39,0.41,2,0,1,0,16,0
0,1,0,1,1,2,9,12,6,16,8,8,3,3,5,8,1,8,8,23,15,7,6,39,0.359,1,0,1,0,14,0
0,1,1,0,1,9,9,8,6,12,16,3,9,3,5,8,1,16,8,27,15,6,6,39,0.333,1,0.09,0,7.054,12,0
0,1,1,0,1,2,9,8,6,9,3,8,5,3,5,8,1,8,8,23,15,5,6,39,0.256,1,0,1,0,11,0
0,1,1,0,1,12,9,8,6,8,9,5,9,3,5,8,1,16,8,27,15,4,6,39,0.231,1,0.204,0,2.176,12,0
0,1,1,0,1,2,9,8,6,9,5,8,12,3,5,8,1,8,8,23,15,3,6,39,0.154,1,-0.088,0,6.437,16,0
0,1,1,0,1,6,9,8,6,8,9,12,8,3,5,8,1,8,8,11,15,2,6,39,0.128,1,0.011,0,2.248,13,0
0,1,0,1,1,2,9,12,6,8,8,8,5,3,5,8,1,8,8,23,15,1,6,39,0.103,5,0,1,0,14,0
0,1,1,0,1,10,9,8,6,12,8,5,3,3,5,8,1,8,8,23,15,0,6,39,0.077,2,0.03,0,7.483,14,0
1,0,1,0,1,2,9,8,6,1,18,8,16,3,5,8,1,8,8,23,15,16,6,39,0,1,0,1,0,15,0
1,1,1,0,1,1,9,8,6,8,1,16,1,3,5,8,1,16,8,24,15,15,6,39,0,1,0.114,0,6.083,12,0
1,1,1,0,1,2,9,8,6,1,1,2,13,3,5,8,1,16,8,27,15,14,6,39,0,2,0.155,0,3.62,10,0
1,1,0,1,1,1,9,12,6,14,13,16,3,3,5,8,1,16,8,24,15,13,6,39,0,5,0,1,0,14,0
1,1,1,0,1,5,9,8,6,1,3,13,11,3,5,8,1,16,8,27,15,12,6,39,0,2,0,1,0,16,0
1,1,0,0,1,2,9,11,6,13,8,8,2,3,5,8,1,8,8,23,15,12,6,39,0,4,0.607,0,1.139,0,0
1,1,1,0,1,2,9,8,6,11,13,2,16,3,5,8,1,16,8,27,15,11,6,39,0,2,0.27,0,5.106,11,0
1,1,1,0,1,1,9,8,6,16,2,5,16,3,5,8,1,16,8,24,15,10,6,39,0,2,0,1,0,15,0
1,1,1,0,1,1,9,8,6,1,16,13,18,3,5,8,1,16,8,24,15,9,6,39,0,3,0.255,0,7.365,16,0
2,1,1,0,0,1,9,8,6,18,18,13,12,3,5,8,1,18,8,32,15,19,6,39,0,4,0.025,0,8.69,12,0
2,1,0,1,1,1,9,12,6,13,8,12,18,3,5,8,1,8,8,29,15,18,6,39,0,1,0,1,0,14,0
0,0,1,0,0,1,5,8,11,18,18,4,9,2,16,13,14,16,16,24,27,1,6,23,0.304,3,0,1,0,16,0
