distance_pronoun_antecedent,number_agreement,is_proper_noun,antecedent_position,case_antecedent,case_pronoun,pos_mention,pos_pronoun,pos_before_mention_1,pos_before_mention_2,pos_after_mention_1,pos_after_mention_2,pos_before_pronoun_1,pos_before_pronoun_2,pos_after_pronoun_1,pos_after_pronoun_2,pos_head_mention,pos_head_pronoun,syntactic_function_mention,syntactic_function_pronoun,nouns_between_mentions,pronoun_value,pronoun_sentence_length,normalized_distance,mention_local_score,tkachenko_embedding,missing_tkachenko_embedding,eleri_abstractness_score,mention_global_score,category
0,1,0,1,1,1,1,12,11,14,13,16,11,16,4,16,8,16,16,24,24,6,3,36,0.417,3,0,1,0,9,1
0,0,0,0,1,3,1,11,11,16,12,12,8,16,4,16,8,8,16,23,24,6,3,36,0.361,1,0.576,0,2.552,0,0
0,1,0,1,1,2,1,12,11,11,16,8,1,16,4,16,8,8,16,23,24,5,3,36,0.333,2,0,1,0,13,0
0,0,1,0,1,3,1,8,11,12,11,1,8,16,4,16,8,1,16,26,24,4,3,36,0.306,4,0.334,0,4.992,7,0
0,1,1,0,1,4,1,8,11,1,8,13,12,16,4,16,8,16,16,27,24,3,3,36,0.25,2,0.147,0,2.878,11,0
0,1,0,1,1,2,1,12,11,13,8,8,8,16,4,16,8,8,16,23,24,2,3,36,0.194,2,0,1,0,15,0
0,1,1,0,1,2,1,8,11,12,13,8,13,16,4,16,8,8,16,23,24,1,3,36,0.167,3,0,1,0,10,0
0,1,1,0,1,1,1,8,11,8,12,13,13,16,4,16,8,8,16,29,24,0,3,36,0.139,2,0.204,0,3.403,12,0
0,1,0,1,0,2,2,12,11,18,18,8,12,14,13,8,8,8,8,23,23,3,3,20,0.35,2,0,1,0,11,0
0,1,1,0,1,1,2,8,11,12,18,12,12,14,13,8,8,16,8,24,23,2,3,20,0.3,1,0,1,0,15,0
0,1,0,1,1,1,2,12,11,8,12,12,16,14,13,8,8,8,8,5,23,1,3,20,0.25,1,0,1,0,16,1
1,1,1,0,0,1,2,8,11,18,18,13,12,14,13,8,8,18,8,32,23,5,3,20,0,2,0.048,0,8.69,12,0
